"","Date","Open","High","Low","Close","Volume","Adj.Close","LogVol"
"1","04/09/2012",5.27,6.15,5.07,5.23,9559700,5.23,16.0730669037821
"2","01/08/2012",5.34,5.57,4.06,5.29,10310700,5.29,16.1486927489357
"3","02/07/2012",5.74,5.97,4.62,5.04,6734100,5.04,15.7226947286077
"4","01/06/2012",5.07,5.79,4.8,5.66,8480000,5.66,15.9532210077681
"5","01/05/2012",6.03,6.5,4.82,5.24,10883100,5.24,16.2027216852788
"6","02/04/2012",8.32,8.46,5.7,6.01,16331700,6.01,16.6086185624065
"7","01/03/2012",9.09,9.49,8.11,8.32,9370600,8.32,16.0530876863161
"8","01/02/2012",7.87,9.68,7.77,9.09,10746400,9.09,16.1900813727309
"9","03/01/2012",6.74,8.45,6.57,7.71,8824300,7.71,15.9930198375243
"10","01/12/2011",6.48,7.05,5.69,6.55,8389300,6.55,15.9424676423048
"11","01/11/2011",6.01,7.38,5.32,6.59,12065100,6.59,16.3058275454446
"12","03/10/2011",5.7,6.99,4.84,6.38,11518900,6.38,16.2594997225618
"13","01/09/2011",6.94,6.97,4.8,5.74,9824500,5.74,16.1003898238394
"14","01/08/2011",8.44,8.47,5.26,6.93,12240000,6.93,16.3202198350485
"15","01/07/2011",10.3,10.71,7.56,8.32,11540300,8.32,16.2613558152401
"16","01/06/2011",11.04,11.12,9.75,10.28,6741800,10.28,15.7238375095482
"17","02/05/2011",12.31,12.55,10.84,11.11,6335400,11.11,15.6616635110227
"18","01/04/2011",13.6,13.64,11.78,12.19,4489900,12.19,15.3173409877555
"19","01/03/2011",13.29,13.58,12.02,13.46,4933500,13.46,15.4115592332794
"20","01/02/2011",13.68,14.44,12.3,13.23,9712500,13.23,16.088924273658
"21","03/01/2011",13.31,14.77,13.12,13.57,8838500,13.57,15.9946277369581
"22","01/12/2010",11.87,13.54,11.75,13.14,4132400,13.14,15.2343689099574
"23","01/11/2010",11.37,12.53,11.1,11.66,7405400,11.66,15.8177200217808
"24","01/10/2010",12.44,13.72,10.61,11.33,9677200,11.33,16.0852831612118
"25","01/09/2010",11.07,12.98,10.98,12.22,5980100,12.22,15.603947848195
"26","02/08/2010",13.73,13.76,10.26,10.84,9821600,10.84,16.1000945998488
"27","01/07/2010",13.04,16.1,12.39,13.58,11706100,13.58,16.2756206314245
"28","01/06/2010",15.23,16,13.04,13.07,10791500,13.07,16.1942693451812
"29","03/05/2010",16.52,18.19,12.98,15.59,13415700,15.59,16.4119362208756
"30","01/04/2010",18.53,19.36,16.51,16.52,10291700,16.52,16.1468483031055
"31","01/03/2010",16.06,18.7,15.3,18.34,10591000,18.34,16.1755151418258
"32","01/02/2010",14.09,16.33,13.07,15.94,11761500,15.94,16.2803420433212
"33","04/01/2010",11.62,14.38,11.52,13.84,17286600,13.84,16.6654421928624
"34","01/12/2009",10.93,12.15,10.45,11.35,9565600,11.35,16.0736838875875
"35","02/11/2009",11.01,11.92,9.47,10.77,18793300,10.77,16.749010981302
"36","01/10/2009",11.79,12.4,8.37,10.62,27688400,10.62,17.1365241108847
"37","01/09/2009",10.62,13.68,8.56,11.95,28952000,11.95,17.1811498442257
"38","03/08/2009",7.06,10.72,6.83,10.56,20829500,10.56,16.8518808091084
"39","01/07/2009",7.1,7.25,5.02,6.9,15930700,6.9,16.5837586231681
"40","01/06/2009",6.28,7.41,5.51,6.99,18659100,6.99,16.741844520709
"41","01/05/2009",2.24,6.18,2.23,5.92,31251900,5.92,17.2575907322984
"42","01/04/2009",1.84,2.75,1.75,2.36,17942600,2.36,16.7026883316302
"43","02/03/2009",1.13,2.24,0.78,1.9,17962800,1.9,16.7038135106913
"44","02/02/2009",2.39,3.02,1.15,1.21,16236000,1.21,16.6027415569409
"45","02/01/2009",2.89,3.38,1.7,2.32,14032100,2.32,16.4568581201366
"46","01/12/2008",1.39,3.99,1.13,2.83,19597200,2.83,16.7908972568528
"47","03/11/2008",4.78,6.69,0.7,1.45,19458200,1.45,16.7837791330134
"48","01/10/2008",7.7,8.5,3.25,4.84,8507800,4.84,15.9564939477387
"49","02/09/2008",16.39,19.99,3.51,8.61,10434300,8.44,16.1606090143075
"50","01/08/2008",16.07,16.93,14.46,16.05,5261000,15.73,15.4758316807129
"51","01/07/2008",17.61,18.27,14.13,15.97,7593900,15.65,15.8428558513964
"52","02/06/2008",22.05,22.14,17.69,17.81,4269500,17.36,15.2670072823298
"53","27/05/2008",22.27,22.7,22.08,22.1,4175300,21.54,15.244696769973
