authority,region,location,sampleID,Aluminium,Ammonium,Conductivity,Fluoride,Iron,Nitrate,pH,Sodium,Total Chlorine,Turbidity
1,1,loc1,1,NA,NA,643,NA,17.2,41.7,7.4,NA,NA,1.79
1,1,loc2,2,NA,NA,634,NA,NA,22.3,7.4,NA,NA,NA
1,1,loc3,3,NA,NA,636,NA,NA,21.8,7.6,NA,NA,NA
1,1,loc4,4,NA,NA,647,0.73,NA,35.8714,7.6,11,0.26,0.2
1,1,loc5,5,15,NA,341,NA,2.8,19.7,7,NA,NA,NA
1,1,loc6,6,NA,NA,659,NA,NA,36.8,7.6,NA,NA,NA
1,1,loc7,7,NA,NA,632,NA,NA,23.1,7.6,NA,NA,NA
1,1,loc7,8,NA,NA,634,NA,NA,21,7.6,NA,NA,NA
1,1,loc8,9,NA,NA,647,0.45,NA,35.4286,7.7,9.1,0.41,0.2
1,1,loc8,10,NA,NA,647,0.8,NA,41.1857,7.4,9.9,0.29,0.2
1,1,loc9,11,NA,NA,640,NA,NA,36.6,7.7,NA,NA,NA
1,1,loc10,12,NA,NA,649,NA,NA,39.6,7.7,NA,NA,NA
1,1,loc11,13,NA,NA,629,NA,NA,23.2,7.5,NA,NA,NA
1,1,loc12,14,NA,0.0257143,524,NA,NA,10.6,7.8,NA,NA,0.11
1,1,loc13,15,NA,NA,624,NA,NA,20.3,7.7,NA,NA,0.3
1,1,loc14,16,NA,NA,640,NA,NA,21.4,7.4,NA,NA,NA
1,1,loc15,17,NA,NA,291,NA,3.6,8.4,7.6,NA,NA,NA
1,2,loc16,18,NA,NA,290,NA,4.2,7.9,7.6,NA,NA,NA
1,2,loc16,19,NA,NA,422,NA,5.8,27.5,7.4,NA,NA,NA
1,2,loc16,20,NA,NA,452,NA,4.2,32.3,7.1,NA,NA,0.35
1,2,loc17,21,30,NA,474,NA,NA,31.8857,7.4,75,0.21,NA
1,3,loc18,22,NA,NA,373,NA,10.1,NA,6.9,NA,NA,NA
1,3,loc19,23,NA,NA,392,NA,19.2,NA,7.1,NA,NA,NA
1,3,loc20,24,NA,NA,361,NA,NA,NA,7.2,69,1.75,NA
1,4,loc21,25,NA,NA,290,NA,4.5,7.9,7.5,NA,NA,NA
1,4,loc22,26,NA,NA,157,NA,10.1,5.1,7.4,NA,NA,0.28
1,4,loc23,27,NA,NA,316,NA,53.4,7.1,7.6,NA,NA,NA
1,4,loc24,28,31,0.0257143,152,NA,2.8,6.8,7.2,NA,NA,NA
1,4,loc25,29,15,NA,165,NA,16.7,8.3,7.3,NA,NA,NA
1,4,loc26,30,31,NA,238,0.75,10,7.08571,7.7,33,0.89,0.3
1,4,loc27,31,NA,NA,277,NA,3.6,NA,7.2,NA,NA,0.3
1,5,loc28,32,23,NA,94,0.69,23,3.54286,7.2,9.4,0.59,NA
