Label,Area,NO3,NH4,N,P,K,Mg,pH
1A,A,-0.92,0.45,0.77,0.75,2.05,2.36,6.28
1A,A,0.29,0.36,0.93,0.94,2.23,2.31,7.06
1A,A,-1,0.36,0.68,0.82,2.14,2.39,7.04
1A,A,-0.25,0.66,1.01,0.85,2.43,2.43,6.27
1B,B,1.25,0.57,1.63,0.78,1.87,2,4.88
1B,B,0.89,0.63,1.38,0.87,1.81,2.15,5.09
1B,B,1.22,1.28,1.85,0.9,1.56,1.89,4.41
1B,B,-0.32,0.66,1,0.81,1.76,2.1,5.45
1C,C,-0.92,0.64,0.95,0.86,1.79,2.03,5.22
1C,C,0.75,1.6,1.96,0.82,1.71,1.85,4.87
1C,C,-0.23,1.38,1.69,0.82,1.78,1.97,5
1C,C,-0.92,0.39,0.71,0.85,1.63,2.05,5.96
2A,A,-0.96,0.16,0.49,0.9,2.14,2.25,7.35
2A,A,-0.96,0.56,0.88,0.91,2.14,2.37,6.67
2A,A,0.26,0.54,1.03,0.82,2.05,2.25,7.4
2A,A,-1,0.21,0.53,0.81,2.27,2.31,6.55
2B,B,1.12,1.29,1.82,0.85,1.74,1.92,4.18
2B,B,1.45,1.27,1.97,0.87,1.4,1.84,4.07
2B,B,0.73,0.58,1.27,0.89,1.75,1.98,4.22
2B,B,0.08,0.43,0.89,0.85,2.09,2.24,6.11
2C,C,-0.85,0.88,1.19,0.86,1.73,1.91,4.57
2C,C,-0.96,0.05,0.38,0.85,1.65,1.96,4.7
2C,C,-1.05,0.29,0.61,0.92,1.74,2.01,6.85
2C,C,-0.92,0.54,0.85,0.91,1.64,2.06,5.5
3A,A,0.33,0.68,1.14,0.87,2.41,2.26,7.34
3A,A,-0.92,0.16,0.49,0.9,2.13,2.4,6.43
3A,A,-1.05,0.04,0.38,0.78,2.05,2.36,7.08
3A,A,0.81,0.81,1.41,0.86,2.42,2.32,7.16
3B,B,1.54,1.62,2.18,0.86,1.66,1.88,4
3B,B,1.02,1.35,1.82,0.86,1.8,2.09,4.32
3B,B,1.16,1.56,2,0.95,2.02,2.1,4.77
3B,B,1.25,0.79,1.68,0.88,1.49,1.89,4.51
3C,C,-0.92,1.4,1.7,0.85,1.9,2.02,4.7
3C,C,0.22,0.83,1.23,0.9,1.57,1.99,4.65
3C,C,0.32,0.61,1.09,0.85,1.46,1.75,4.53
3C,C,-0.02,0.45,0.88,0.82,1.96,2.25,6.05
