region,taxon
G,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
O,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum fallax
J,Sphagnum fallax
R,Sphagnum fallax
H,Sphagnum fallax
R,Sphagnum fallax
O,Sphagnum fallax
H,Sphagnum fallax
O,Sphagnum fallax
G,Sphagnum fallax
Q,Sphagnum fallax
O,Sphagnum fallax
H,Sphagnum fallax
H,Sphagnum fallax
H,Sphagnum fallax
R,Sphagnum fallax
H,Sphagnum fallax
Q,Sphagnum fallax
O,Sphagnum fallax
H,Sphagnum fallax
Q,Sphagnum fallax
O,Sphagnum fallax
R,Sphagnum fallax
Q,Sphagnum fallax
J,Sphagnum fallax
H,Sphagnum fallax
R,Sphagnum fallax
H,Sphagnum fallax
Q,Sphagnum fallax
O,Sphagnum fallax
R,Sphagnum fallax
Q,Sphagnum fallax
Q,Sphagnum fallax
G,Sphagnum fallax
H,Sphagnum fallax
R,Sphagnum fallax
H,Sphagnum fallax
H,Sphagnum fallax
J,Sphagnum fallax
J,Sphagnum fallax
O,Sphagnum fallax
G,Sphagnum fallax
J,Sphagnum fallax
H,Sphagnum fallax
H,Sphagnum fallax
R,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
O,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
O,Sphagnum fallax
Q,Sphagnum fallax
O,Sphagnum fallax
O,Sphagnum fallax
O,Sphagnum fallax
Q,Sphagnum fallax
J,Sphagnum fallax
R,Sphagnum fallax
R,Sphagnum fallax
R,Sphagnum fallax
G,Sphagnum fallax
O,Sphagnum fallax
H,Sphagnum fallax
H,Sphagnum fallax
G,Sphagnum fallax
J,Sphagnum fallax
J,Sphagnum fallax
Q,Sphagnum fallax
H,Sphagnum fallax
O,Sphagnum fallax
G,Sphagnum fallax
H,Sphagnum fallax
H,Sphagnum fallax
R,Sphagnum fallax
H,Sphagnum magellanicum
R,Sphagnum fallax
R,Sphagnum fallax
O,Sphagnum fallax
O,Sphagnum fallax
H,Sphagnum fallax
G,Sphagnum fallax
R,Sphagnum magellanicum
H,Sphagnum magellanicum
R,Sphagnum fallax
O,Sphagnum fallax
Q,Sphagnum fallax
G,Sphagnum fallax
G,Sphagnum fallax
H,Sphagnum fallax
G,Sphagnum fallax
H,Sphagnum magellanicum
Q,Sphagnum magellanicum
Q,Sphagnum magellanicum
R,Sphagnum magellanicum
R,Sphagnum magellanicum
R,Sphagnum magellanicum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
O,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum capillifolium subsp. rubellum
O,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
R,Sphagnum cuspidatum
O,Sphagnum cuspidatum
Q,Sphagnum cuspidatum
R,Sphagnum cuspidatum
O,Sphagnum cuspidatum
Q,Sphagnum cuspidatum
R,Sphagnum cuspidatum
O,Sphagnum cuspidatum
G,Sphagnum cuspidatum
H,Sphagnum cuspidatum
R,Sphagnum cuspidatum
H,Sphagnum cuspidatum
R,Sphagnum cuspidatum
O,Sphagnum cuspidatum
O,Sphagnum cuspidatum
G,Sphagnum cuspidatum
O,Sphagnum cuspidatum
H,Sphagnum cuspidatum
O,Sphagnum cuspidatum
R,Sphagnum cuspidatum
G,Sphagnum magellanicum
