id,sex,race,polviews,cappun,degree2,age
1,1,1,5,2,0,43
2,1,2,1,2,1,44
3,2,1,6,1,1,43
4,2,1,4,1,0,45
5,2,1,3,2,1,78
6,1,1,2,1,0,83
7,2,1,2,1,0,55
8,1,1,4,1,0,75
9,1,1,5,8,1,31
10,2,1,4,9,1,54
11,2,1,1,2,1,29
12,2,1,2,1,0,23
13,2,1,2,2,0,61
14,2,3,4,8,0,63
15,2,3,6,1,0,33
16,2,2,3,2,0,36
17,2,2,4,8,0,39
18,1,3,4,8,0,55
19,2,1,3,2,1,55
20,1,1,4,1,1,34
21,2,1,3,2,0,36
22,2,1,4,8,1,44
23,1,1,1,2,1,80
24,1,3,3,2,1,32
25,1,3,5,8,0,37
27,2,3,5,1,1,49
28,2,3,3,2,1,45
29,2,1,2,2,1,36
30,2,2,2,2,0,23
31,1,1,2,2,1,29
32,2,2,4,1,0,30
33,2,2,2,1,1,40
34,2,1,6,8,0,26
35,1,1,5,1,0,66
36,2,3,6,1,0,53
37,2,3,4,1,0,20
38,2,1,5,1,0,63
39,1,3,5,1,0,41
40,2,1,6,2,0,33
41,1,3,4,1,0,34
42,2,3,4,1,1,61
43,2,1,4,1,1,29
44,2,1,6,1,0,45
45,1,1,6,1,0,31
47,1,1,4,8,1,28
48,2,1,2,2,1,34
49,2,1,4,1,0,45
50,2,1,5,1,1,35
51,1,1,4,1,1,48
53,1,2,3,1,1,39
54,1,2,6,1,0,20
55,2,2,6,8,0,27
56,1,1,2,1,0,36
57,1,1,6,8,1,78
58,2,3,6,2,0,42
59,2,1,4,2,1,31
60,2,3,5,8,1,44
61,1,1,5,1,0,39
62,2,1,4,1,0,19
63,2,1,2,1,0,37
64,2,1,1,2,1,48
65,2,1,4,1,0,39
66,1,2,5,1,0,45
67,1,1,2,2,1,46
68,2,1,3,1,1,23
69,2,1,2,2,1,37
70,1,1,5,1,0,27
71,2,1,2,1,1,23
72,1,1,5,1,1,31
73,2,1,4,1,0,30
74,1,1,6,1,1,77
75,1,2,7,1,0,41
76,2,2,4,1,0,70
77,1,2,7,1,0,81
78,1,2,4,1,0,41
79,2,2,1,1,0,41
80,2,2,3,2,0,69
81,2,2,4,1,0,41
82,2,3,5,2,0,32
83,2,2,4,1,0,29
84,2,2,4,1,0,51
85,1,1,3,1,1,35
86,1,1,3,1,0,36
87,1,1,4,1,0,41
88,2,1,7,1,1,62
89,1,1,5,2,0,44
90,2,1,4,1,0,64
91,1,1,5,1,0,49
92,2,1,6,1,0,62
93,2,1,4,2,1,62
94,2,1,4,1,0,49
95,2,1,5,1,0,49
96,1,1,3,8,1,45
97,1,1,4,1,1,75
98,1,1,4,1,1,75
99,1,3,1,2,0,18
100,1,1,6,1,1,31
101,2,1,3,1,0,27
102,1,1,4,1,0,45
103,1,1,2,2,1,27
105,1,1,2,1,0,28
106,1,1,5,1,0,52
107,1,1,5,1,0,69
108,1,1,4,1,0,43
109,1,1,6,1,1,28
110,2,1,4,1,0,52
112,2,1,6,1,1,37
113,2,1,4,8,0,36
114,2,1,4,1,0,24
115,1,1,2,2,1,51
116,1,1,2,2,1,57
117,1,1,2,2,1,72
118,2,1,3,1,1,45
119,1,1,5,1,1,32
121,2,2,7,2,0,63
122,1,2,1,2,0,50
123,2,2,8,2,0,71
124,1,3,2,1,0,59
125,1,1,4,1,1,30
126,2,1,4,1,0,37
127,2,1,5,8,0,54
128,1,1,5,1,0,43
129,1,2,2,2,1,99
130,2,2,6,8,0,62
