"","x"
"1",2.65946203100171
"2",4.84306764460897
"3",3.42749518258419
"4",4.27804048369204
"5",3.67488839645769
"6",3.68352783245647
"7",4.78455989118786
"8",3.55373585648704
"9",2.65150910806363
"10",2.89589262698343
"11",4.2831901043449
"12",2.7780046572967
"13",2.90651917002489
"14",3.1765199259345
"15",2.67725842805118
"16",3.32517609123242
"17",2.03228122362384
"18",3.75907156644039
"19",2.49258182438239
"20",3.7181290217236
"21",4.63609395912454
"22",5.58727584325569
"23",2.53642372528631
"24",4.61715200870979
"25",3.35440514555501
"26",3.8005901527815
"27",2.51151922853496
"28",3.95987538151105
"29",4.81774430070975
"30",4.55822439880635
"31",3.64949033046097
"32",3.74439679302335
"33",5.33492198506539
"34",4.54150764680721
"35",3.24132132542619
"36",3.06754858027356
"37",3.04313713796518
"38",3.86010711333921
"39",4.61033225192221
"40",3.99181668861665
