,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Sepal.Ratio,Petal.Ratio
0,5.1,3.5,1.4,0.2,setosa,1.45714285714,7.0
1,4.9,3.0,1.4,0.2,setosa,1.63333333333,7.0
2,4.7,3.2,1.3,0.2,setosa,1.46875,6.5
3,4.6,3.1,1.5,0.2,setosa,1.48387096774,7.5
4,5.0,3.6,1.4,0.2,setosa,1.38888888889,7.0
5,5.4,3.9,1.7,0.4,setosa,1.38461538462,4.25
6,4.6,3.4,1.4,0.3,setosa,1.35294117647,4.66666666667
7,5.0,3.4,1.5,0.2,setosa,1.47058823529,7.5
8,4.4,2.9,1.4,0.2,setosa,1.51724137931,7.0
9,4.9,3.1,1.5,0.1,setosa,1.58064516129,15.0
10,5.4,3.7,1.5,0.2,setosa,1.45945945946,7.5
11,4.8,3.4,1.6,0.2,setosa,1.41176470588,8.0
12,4.8,3.0,1.4,0.1,setosa,1.6,14.0
13,4.3,3.0,1.1,0.1,setosa,1.43333333333,11.0
14,5.8,4.0,1.2,0.2,setosa,1.45,6.0
15,5.7,4.4,1.5,0.4,setosa,1.29545454545,3.75
16,5.4,3.9,1.3,0.4,setosa,1.38461538462,3.25
17,5.1,3.5,1.4,0.3,setosa,1.45714285714,4.66666666667
18,5.7,3.8,1.7,0.3,setosa,1.5,5.66666666667
19,5.1,3.8,1.5,0.3,setosa,1.34210526316,5.0
20,5.4,3.4,1.7,0.2,setosa,1.58823529412,8.5
21,5.1,3.7,1.5,0.4,setosa,1.37837837838,3.75
22,4.6,3.6,1.0,0.2,setosa,1.27777777778,5.0
23,5.1,3.3,1.7,0.5,setosa,1.54545454545,3.4
24,4.8,3.4,1.9,0.2,setosa,1.41176470588,9.5
25,5.0,3.0,1.6,0.2,setosa,1.66666666667,8.0
26,5.0,3.4,1.6,0.4,setosa,1.47058823529,4.0
27,5.2,3.5,1.5,0.2,setosa,1.48571428571,7.5
28,5.2,3.4,1.4,0.2,setosa,1.52941176471,7.0
29,4.7,3.2,1.6,0.2,setosa,1.46875,8.0
30,4.8,3.1,1.6,0.2,setosa,1.54838709677,8.0
31,5.4,3.4,1.5,0.4,setosa,1.58823529412,3.75
32,5.2,4.1,1.5,0.1,setosa,1.26829268293,15.0
33,5.5,4.2,1.4,0.2,setosa,1.30952380952,7.0
34,4.9,3.1,1.5,0.2,setosa,1.58064516129,7.5
35,5.0,3.2,1.2,0.2,setosa,1.5625,6.0
36,5.5,3.5,1.3,0.2,setosa,1.57142857143,6.5
37,4.9,3.6,1.4,0.1,setosa,1.36111111111,14.0
38,4.4,3.0,1.3,0.2,setosa,1.46666666667,6.5
39,5.1,3.4,1.5,0.2,setosa,1.5,7.5
