Date,Open,High,Low,Close,Volume,Adj Close
2012-09-04,5.27,6.15,5.07,5.23,9559700,5.23
2012-08-01,5.34,5.57,4.06,5.29,10310700,5.29
2012-07-02,5.74,5.97,4.62,5.04,6734100,5.04
2012-06-01,5.07,5.79,4.80,5.66,8480000,5.66
2012-05-01,6.03,6.50,4.82,5.24,10883100,5.24
2012-04-02,8.32,8.46,5.70,6.01,16331700,6.01
2012-03-01,9.09,9.49,8.11,8.32,9370600,8.32
2012-02-01,7.87,9.68,7.77,9.09,10746400,9.09
2012-01-03,6.74,8.45,6.57,7.71,8824300,7.71
2011-12-01,6.48,7.05,5.69,6.55,8389300,6.55
2011-11-01,6.01,7.38,5.32,6.59,12065100,6.59
2011-10-03,5.70,6.99,4.84,6.38,11518900,6.38
2011-09-01,6.94,6.97,4.80,5.74,9824500,5.74
2011-08-01,8.44,8.47,5.26,6.93,12240000,6.93
2011-07-01,10.30,10.71,7.56,8.32,11540300,8.32
2011-06-01,11.04,11.12,9.75,10.28,6741800,10.28
2011-05-02,12.31,12.55,10.84,11.11,6335400,11.11
2011-04-01,13.60,13.64,11.78,12.19,4489900,12.19
2011-03-01,13.29,13.58,12.02,13.46,4933500,13.46
2011-02-01,13.68,14.44,12.30,13.23,9712500,13.23
2011-01-03,13.31,14.77,13.12,13.57,8838500,13.57
2010-12-01,11.87,13.54,11.75,13.14,4132400,13.14
2010-11-01,11.37,12.53,11.10,11.66,7405400,11.66
2010-10-01,12.44,13.72,10.61,11.33,9677200,11.33
2010-09-01,11.07,12.98,10.98,12.22,5980100,12.22
2010-08-02,13.73,13.76,10.26,10.84,9821600,10.84
2010-07-01,13.04,16.10,12.39,13.58,11706100,13.58
2010-06-01,15.23,16.00,13.04,13.07,10791500,13.07
2010-05-03,16.52,18.19,12.98,15.59,13415700,15.59
2010-04-01,18.53,19.36,16.51,16.52,10291700,16.52
2010-03-01,16.06,18.70,15.30,18.34,10591000,18.34
2010-02-01,14.09,16.33,13.07,15.94,11761500,15.94
2010-01-04,11.62,14.38,11.52,13.84,17286600,13.84
2009-12-01,10.93,12.15,10.45,11.35,9565600,11.35
2009-11-02,11.01,11.92,9.47,10.77,18793300,10.77
2009-10-01,11.79,12.40,8.37,10.62,27688400,10.62
2009-09-01,10.62,13.68,8.56,11.95,28952000,11.95
2009-08-03,7.06,10.72,6.83,10.56,20829500,10.56
2009-07-01,7.10,7.25,5.02,6.90,15930700,6.90
2009-06-01,6.28,7.41,5.51,6.99,18659100,6.99
2009-05-01,2.24,6.18,2.23,5.92,31251900,5.92
2009-04-01,1.84,2.75,1.75,2.36,17942600,2.36
2009-03-02,1.13,2.24,0.78,1.90,17962800,1.90
2009-02-02,2.39,3.02,1.15,1.21,16236000,1.21
2009-01-02,2.89,3.38,1.70,2.32,14032100,2.32
2008-12-01,1.39,3.99,1.13,2.83,19597200,2.83
2008-11-03,4.78,6.69,0.70,1.45,19458200,1.45
2008-10-01,7.70,8.50,3.25,4.84,8507800,4.84
2008-09-02,16.39,19.99,3.51,8.61,10434300,8.44
2008-08-01,16.07,16.93,14.46,16.05,5261000,15.73
2008-07-01,17.61,18.27,14.13,15.97,7593900,15.65
2008-06-02,22.05,22.14,17.69,17.81,4269500,17.36
2008-05-27,22.27,22.70,22.08,22.10,4175300,21.54
